"sent_pos","source"
44,"И вовсе не качество звука в зале виновато (по сравнению с предыдущим концертом в «Б1» тут случилось счастье для ушей)."
45,"Уж слишком несочетаемы всё-таки эти вполне самодостаточные этнические инструменты."
46,"Очень мило, что они тут все на сцене есть и происходит какое-то действо почти в духе Курехина, и особенно вернувшийся басист Титов в этническом халате напоминает про те чудные безалаберные междусобойчики времен перестройки."
47,"Но добиться осмысленности существования такого количества музыкантов с абсолютно неприспособленным друг к другу инструментарием БГ не удалось."
48,"Не спасли даже заранее расписанные партитуры, выданные каждому гастарбайтеру."
49,"Разве что флейтист Брайан Финнеган действительно оказался на месте, его соло были уместны и естественны."
50,"Но флейт и так всегда в саунде «Аквариума» хватало, да и Брайан уже играл с «Аквариумом» не раз."
51,"Зато новые песни откровенно порадовали."
52,"«Девушка с веслом» в ритме румбы повествует о светлой ностальгии по советскому прошлому, не без иронии, разумеется."
53,"«Еще один раз» — ровно о противоположном, о железной клетке и людях, которые не хотят из нее выходить."
54,"На альбоме она звучит как акустика с вкрадчивыми перкашнами и совершенно изумительным по концентрированной горечи соло Дживана Гаспаряна на дудуке."
55,"А концертная версия без великого Гаспаряна вдруг обратилась в мрачный арт-рок с трагическими гитарными риффами Игоря Тимофеева."
56,"Заглавная песня альбома «Лошадь белая» снова вернула к акустическому гитарному перебору с акцентированными аккордными проходами, поддержанному струнными и волынкой (еще и ситаром, но он оказался неслышим)."
57,"Шуточное «Слово Паисия Пчельника» про непутевых городских девиц вызвало бурные аплодисменты на фразе «Иные грядут времена,/ Когда муж превратится в орнамент,/ И всем будет править жена»."
58,"Но будущим концертным хитом станет, без сомнения, другая шуточная песня — «Что нам делать с пьяным матросом?» Бодрый упругий вальс с хоровым унисоном, предлагающий переодеть пьяного матроса в «Хьюго Босс» в качестве рецепта его духовного преображения."
59,"Наконец, нельзя не упомянуть про «Неизъяснимо», единственную песню, в которой слились в едином потоке все приглашенные гости – и чудные партии флейт, и томные струнные, и печальная ирландская волынка, и тягучая фисгармония, и даже обычно неслышимый ситар."
60,"Тут и сбылась мечта БГ."
61,"Неизвестно, соберется ли после нынешних презентаций «Аквариум International» вообще, соберется ли именно в этом составе, но всегда радостно видеть творца, у которого сбылась мечта собрать именно такой интернациональный оркестр из единомышленников."
62,"И сыграть аншлаговые концерты."
63,"Одной мечтой у БГ стало меньше."
